Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9689686
,CISS.D.U2.Z0Z.4F.EC.SS_BM.CON,CISS.D.U2.Z0Z.4F.EC.SS_CI.IDX,CISS.D.U2.Z0Z.4F.EC.SS_CO.CON,CISS.D.U2.Z0Z.4F.EC.SS_EM.CON,CISS.D.U2.Z0Z.4F.EC.SS_FI.CON,CISS.D.U2.Z0Z.4F.EC.SS_FX.CON,CISS.D.U2.Z0Z.4F.EC.SS_MM.CON,CISS.D.US.Z0Z.4F.EC.SS_CI.IDX,CISS.M.AT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.BE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.CZ.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.DE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.DK.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.ES.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.FI.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.FR.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.GB.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.GR.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.HU.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.IE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.IT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.NL.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.PL.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.PT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.SE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.U2.Z0Z.4F.EC.SOV_EW.IDX,CISS.M.U2.Z0Z.4F.EC.SOV_GDPW.IDX
2017-11-30,,,,,,,,,0.1168,0.0493,0.1404,0.0564,0.0915,0.0728,0.0766,0.0281,0.0297,0.1401,0.0275,0.0520,0.0265,0.0665,0.0290,0.0672,0.0283,0.0684,0.0516
2017-11-24,0.0286,0.0622,-0.1155,0.0322,0.0635,0.0267,0.0267,0.0278,,,,,,,,,,,,,,,,,,,
2017-11-17,0.0299,0.0635,-0.1214,0.0410,0.0618,0.0288,0.0234,0.0439,,,,,,,,,,,,,,,,,,,
2017-11-10,0.0382,0.0537,-0.1190,0.0339,0.0636,0.0114,0.0256,0.0384,,,,,,,,,,,,,,,,,,,
2017-11-03,0.0248,0.0470,-0.0950,0.0191,0.0502,0.0236,0.0243,0.0385,,,,,,,,,,,,,,,,,,,
2017-10-31,,,,,,,,,0.0858,0.0282,0.3026,0.0507,0.0858,0.0816,0.0713,0.0286,0.0411,0.1391,0.0135,0.0361,0.0360,0.0700,0.0300,0.0738,0.0291,0.0637,0.0509
2017-10-27,0.0488,0.0645,-0.1656,0.0301,0.0699,0.0491,0.0323,0.0431,,,,,,,,,,,,,,,,,,,
2017-10-20,0.0373,0.0405,-0.1115,0.0216,0.0456,0.0239,0.0235,0.0416,,,,,,,,,,,,,,,,,,,
2017-10-13,0.0327,0.0400,-0.0972,0.0193,0.0476,0.0179,0.0198,0.0182,,,,,,,,,,,,,,,,,,,
2017-10-06,0.0267,0.0389,-0.0967,0.0231,0.0460,0.0161,0.0238,0.0265,,,,,,,,,,,,,,,,,,,
2017-09-30,,,,,,,,,0.0730,0.0358,0.3120,0.0662,0.1015,0.0694,0.0847,0.0269,0.0373,0.1519,0.0106,0.0304,0.0367,0.0551,0.0275,0.0923,0.0396,0.0657,0.0535
2017-09-29,0.0423,0.0466,-0.1407,0.0363,0.0588,0.0303,0.0196,0.0295,,,,,,,,,,,,,,,,,,,
2017-09-22,0.0292,0.0462,-0.1305,0.0381,0.0503,0.0359,0.0233,0.0196,,,,,,,,,,,,,,,,,,,
2017-09-15,0.0466,0.0563,-0.1805,0.0533,0.0626,0.0486,0.0257,0.0410,,,,,,,,,,,,,,,,,,,
2017-09-08,0.0461,0.0618,-0.1916,0.0616,0.0793,0.0320,0.0345,0.0594,,,,,,,,,,,,,,,,,,,
2017-09-01,0.0417,0.0601,-0.1815,0.0824,0.0600,0.0249,0.0326,0.0456,,,,,,,,,,,,,,,,,,,
2017-08-31,,,,,,,,,0.1018,0.0531,0.3178,0.1092,0.1150,0.0691,0.0999,0.0304,0.0191,0.1661,0.0126,0.0348,0.0273,0.0758,0.0285,0.1066,0.0225,0.0795,0.0686
2017-08-25,0.0311,0.0520,-0.1417,0.0497,0.0570,0.0273,0.0286,0.0427,,,,,,,,,,,,,,,,,,,
2017-08-18,0.0362,0.0498,-0.1466,0.0624,0.0577,0.0162,0.0238,0.0734,,,,,,,,,,,,,,,,,,,
2017-08-11,0.0371,0.0310,-0.1130,0.0459,0.0280,0.0121,0.0211,0.0642,,,,,,,,,,,,,,,,,,,
2017-08-04,0.0383,0.0383,-0.1367,0.0375,0.0414,0.0314,0.0263,0.0448,,,,,,,,,,,,,,,,,,,
2017-07-31,,,,,,,,,0.0788,0.0620,0.2589,0.1058,0.1006,0.1083,0.1335,0.0357,0.0308,0.1947,0.0130,0.0375,0.0751,0.0762,0.0447,0.1289,0.0234,0.0942,0.0830
2017-07-28,0.0390,0.0400,-0.1429,0.0327,0.0641,0.0163,0.0308,0.0514,,,,,,,,,,,,,,,,,,,
2017-07-21,0.0378,0.0546,-0.1725,0.0475,0.0692,0.0441,0.0285,0.0413,,,,,,,,,,,,,,,,,,,
2017-07-14,0.0397,0.0545,-0.1628,0.0448,0.0727,0.0358,0.0242,0.0407,,,,,,,,,,,,,,,,,,,
2017-07-07,0.0411,0.0437,-0.1454,0.0339,0.0704,0.0141,0.0297,0.0540,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,0.1188,0.0626,0.2520,0.1106,0.1461,0.0859,0.1605,0.0435,0.0543,0.2362,0.0192,0.0434,0.0670,0.1404,0.0539,0.1384,0.0196,0.1098,0.0894
2017-06-30,0.0643,0.0819,-0.2285,0.0625,0.1003,0.0505,0.0328,0.0742,,,,,,,,,,,,,,,,,,,
2017-06-23,0.0248,0.0245,-0.0886,0.0193,0.0395,0.0083,0.0212,0.0509,,,,,,,,,,,,,,,,,,,
2017-06-16,0.0490,0.0558,-0.2135,0.0652,0.0941,0.0324,0.0285,0.0465,,,,,,,,,,,,,,,,,,,
2017-06-09,0.0340,0.0437,-0.1665,0.0393,0.0839,0.0264,0.0265,0.0434,,,,,,,,,,,,,,,,,,,
2017-06-02,0.0410,0.0473,-0.1663,0.0433,0.0822,0.0213,0.0259,0.0324,,,,,,,,,,,,,,,,,,,
2017-05-31,,,,,,,,,0.1288,0.0838,0.2451,0.1225,0.1896,0.0857,0.1790,0.0572,0.0289,0.2811,0.0191,0.0344,0.0785,0.1345,0.0355,0.1650,0.0150,0.1228,0.1002
2017-05-26,0.0426,0.0413,-0.1605,0.0419,0.0683,0.0211,0.0278,0.0248,,,,,,,,,,,,,,,,,,,
2017-05-19,0.0492,0.0631,-0.2153,0.0779,0.0635,0.0582,0.0296,0.0756,,,,,,,,,,,,,,,,,,,
2017-05-12,0.0377,0.0415,-0.1562,0.0457,0.0651,0.0232,0.0260,0.0332,,,,,,,,,,,,,,,,,,,
2017-05-05,0.0432,0.0460,-0.1796,0.0594,0.0679,0.0271,0.0281,0.0326,,,,,,,,,,,,,,,,,,,
2017-04-30,,,,,,,,,0.1507,0.0978,0.2734,0.1259,0.2195,0.1147,0.2436,0.1182,0.0362,0.3154,0.0318,0.0365,0.1041,0.1861,0.0444,0.1881,0.0177,0.1528,0.1290
2017-04-28,0.0728,0.0851,-0.2880,0.0837,0.1085,0.0724,0.0358,0.0531,,,,,,,,,,,,,,,,,,,
2017-04-21,0.0465,0.0506,-0.1889,0.0411,0.0936,0.0274,0.0310,0.0643,,,,,,,,,,,,,,,,,,,
2017-04-14,0.0344,0.0405,-0.1386,0.0216,0.0766,0.0190,0.0275,0.0422,,,,,,,,,,,,,,,,,,,
2017-04-07,0.0441,0.0456,-0.1312,0.0246,0.0697,0.0145,0.0239,0.0460,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,,,0.1486,0.1156,0.2936,0.1301,0.2613,0.1551,0.2476,0.1299,0.0465,0.3826,0.0373,0.0532,0.1123,0.2459,0.0544,0.2178,0.0186,0.1763,0.1457
2017-03-31,0.0419,0.0444,-0.1749,0.0403,0.0712,0.0385,0.0276,0.0517,,,,,,,,,,,,,,,,,,,
2017-03-24,0.0473,0.0529,-0.1793,0.0563,0.0807,0.0204,0.0274,0.0616,,,,,,,,,,,,,,,,,,,
2017-03-17,0.0536,0.0539,-0.2203,0.0615,0.0880,0.0335,0.0376,0.0384,,,,,,,,,,,,,,,,,,,
2017-03-10,0.0655,0.0707,-0.2316,0.0590,0.1060,0.0353,0.0364,0.0230,,,,,,,,,,,,,,,,,,,
2017-03-03,0.0672,0.0864,-0.2505,0.0737,0.1150,0.0485,0.0327,0.0506,,,,,,,,,,,,,,,,,,,
2017-02-28,,,,,,,,,0.1234,0.1152,0.2702,0.1214,0.2875,0.1950,0.1983,0.1157,0.0684,0.4007,0.0454,0.0675,0.1637,0.1988,0.0690,0.2555,0.0214,0.1777,0.1502
2017-02-24,0.0566,0.0642,-0.2244,0.0651,0.0989,0.0306,0.0373,0.0148,,,,,,,,,,,,,,,,,,,
2017-02-17,0.0587,0.0686,-0.2200,0.0603,0.1027,0.0309,0.0360,0.0211,,,,,,,,,,,,,,,,,,,
2017-02-10,0.0591,0.0867,-0.2488,0.0885,0.1190,0.0336,0.0354,0.0222,,,,,,,,,,,,,,,,,,,
2017-02-03,0.0553,0.0771,-0.2301,0.0918,0.0887,0.0432,0.0283,0.0242,,,,,,,,,,,,,,,,,,,
2017-01-31,,,,,,,,,0.1390,0.1142,0.2367,0.1317,0.2967,0.1408,0.1641,0.0516,0.0615,0.2617,0.0284,0.0582,0.1234,0.1598,0.0928,0.2467,0.0349,0.1447,0.1200
2017-01-27,0.0663,0.0849,-0.2308,0.0665,0.1041,0.0517,0.0271,0.0346,,,,,,,,,,,,,,,,,,,
2017-01-20,0.0584,0.0741,-0.2157,0.0472,0.0935,0.0611,0.0296,0.0416,,,,,,,,,,,,,,,,,,,
2017-01-13,0.0500,0.0626,-0.2029,0.0513,0.0986,0.0293,0.0364,0.0225,,,,,,,,,,,,,,,,,,,
2017-01-06,0.0639,0.0752,-0.2178,0.0494,0.1038,0.0379,0.0379,0.0436,,,,,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,0.1211,0.0768,0.1558,0.1064,0.3167,0.1288,0.1349,0.0736,0.0549,0.2631,0.0227,0.0511,0.1583,0.1330,0.0899,0.2381,0.0394,0.1350,0.1177
2016-12-30,0.0462,0.0521,-0.1730,0.0451,0.0808,0.0156,0.0374,0.0388,,,,,,,,,,,,,,,,,,,
2016-12-23,0.0606,0.0745,-0.1947,0.0487,0.0971,0.0258,0.0371,0.0282,,,,,,,,,,,,,,,,,,,
2016-12-16,0.0656,0.0930,-0.1928,0.0536,0.1059,0.0276,0.0331,0.0459,,,,,,,,,,,,,,,,,,,
2016-12-09,0.0747,0.1456,-0.2889,0.0910,0.1417,0.0809,0.0462,0.0629,,,,,,,,,,,,,,,,,,,
2016-12-02,0.0777,0.1245,-0.2614,0.0730,0.1324,0.0635,0.0393,0.0575,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,,,,0.0834,0.0784,0.1310,0.0480,0.3204,0.1462,0.0701,0.0601,0.0496,0.2799,0.0302,0.0405,0.1323,0.0781,0.0769,0.2517,0.0345,0.1153,0.0902
2016-11-25,0.0572,0.0814,-0.1862,0.0460,0.0986,0.0330,0.0327,0.0264,,,,,,,,,,,,,,,,,,,
2016-11-18,0.0446,0.0875,-0.1639,0.0473,0.1017,0.0325,0.0253,0.0709,,,,,,,,,,,,,,,,,,,
2016-11-11,0.0694,0.1414,-0.2495,0.0822,0.1360,0.0698,0.0334,0.1170,,,,,,,,,,,,,,,,,,,
2016-11-04,0.0550,0.1180,-0.2280,0.0914,0.1284,0.0340,0.0373,0.0542,,,,,,,,,,,,,,,,,,,
2016-10-31,,,,,,,,,0.0602,0.0729,0.0828,0.0495,0.2646,0.1141,0.0828,0.0433,0.0308,0.2546,0.0479,0.0187,0.0573,0.0659,0.0221,0.2172,0.0128,0.0942,0.0671
2016-10-28,0.0539,0.0937,-0.1730,0.0384,0.1170,0.0268,0.0307,0.0404,,,,,,,,,,,,,,,,,,,
2016-10-21,0.0347,0.0935,-0.1460,0.0473,0.1118,0.0205,0.0252,0.0384,,,,,,,,,,,,,,,,,,,
2016-10-14,0.0640,0.1471,-0.2298,0.0804,0.1396,0.0544,0.0385,0.0609,,,,,,,,,,,,,,,,,,,
2016-10-07,0.0595,0.1441,-0.1947,0.0643,0.1407,0.0467,0.0277,0.0465,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,,,0.0585,0.0658,0.0524,0.0497,0.2388,0.0867,0.0734,0.0387,0.0309,0.3424,0.0527,0.0207,0.0525,0.0491,0.0292,0.2555,0.0151,0.0994,0.0635
2016-09-30,0.0435,0.1019,-0.1451,0.0559,0.1017,0.0183,0.0277,0.0777,,,,,,,,,,,,,,,,,,,
2016-09-23,0.0594,0.1503,-0.1652,0.0730,0.1294,0.0284,0.0254,0.0621,,,,,,,,,,,,,,,,,,,
2016-09-16,0.0427,0.1204,-0.1555,0.0624,0.1058,0.0382,0.0267,0.0913,,,,,,,,,,,,,,,,,,,
2016-09-09,0.0591,0.1424,-0.1606,0.0592,0.1261,0.0312,0.0275,0.0799,,,,,,,,,,,,,,,,,,,
2016-09-02,0.0515,0.1472,-0.1482,0.0643,0.1262,0.0277,0.0257,0.0610,,,,,,,,,,,,,,,,,,,
2016-08-31,,,,,,,,,0.0633,0.0730,0.0331,0.0641,0.2096,0.0538,0.0711,0.0444,0.0402,0.3418,0.0710,0.0285,0.0747,0.0470,0.0203,0.2449,0.0322,0.1006,0.0693
2016-08-26,0.0432,0.1400,-0.1241,0.0501,0.1213,0.0290,0.0207,0.0355,,,,,,,,,,,,,,,,,,,
2016-08-19,0.0547,0.1503,-0.1302,0.0632,0.1107,0.0276,0.0243,0.0379,,,,,,,,,,,,,,,,,,,
2016-08-12,0.0401,0.1369,-0.1255,0.0541,0.1157,0.0265,0.0261,0.0437,,,,,,,,,,,,,,,,,,,
2016-08-05,0.0669,0.2234,-0.1626,0.0825,0.1560,0.0503,0.0303,0.0832,,,,,,,,,,,,,,,,,,,
2016-07-31,,,,,,,,,0.0528,0.1274,0.0435,0.0941,0.2121,0.0726,0.0560,0.0579,0.0377,0.4757,0.0733,0.0281,0.0891,0.0617,0.0346,0.2429,0.0323,0.1235,0.0907
2016-07-29,0.0589,0.2105,-0.1675,0.0830,0.1539,0.0468,0.0354,0.0501,,,,,,,,,,,,,,,,,,,
2016-07-22,0.0431,0.1766,-0.1421,0.0841,0.1117,0.0485,0.0311,0.0433,,,,,,,,,,,,,,,,,,,
2016-07-15,0.0862,0.3062,-0.2359,0.1419,0.1854,0.0779,0.0507,0.0841,,,,,,,,,,,,,,,,,,,
2016-07-08,0.0654,0.2722,-0.2187,0.1510,0.1672,0.0629,0.0444,0.0735,,,,,,,,,,,,,,,,,,,
2016-07-01,0.0728,0.3024,-0.2661,0.1688,0.1868,0.0857,0.0544,0.1540,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,0.0380,0.1257,0.0633,0.0484,0.1791,0.0748,0.0293,0.0681,0.0444,0.5116,0.0843,0.0454,0.1059,0.0344,0.0546,0.2872,0.0465,0.1244,0.0824
2016-06-24,0.1018,0.3219,-0.3069,0.1660,0.1898,0.1171,0.0540,0.1713,,,,,,,,,,,,,,,,,,,
2016-06-17,0.0645,0.1859,-0.2250,0.1016,0.1496,0.0613,0.0340,0.0935,,,,,,,,,,,,,,,,,,,
2016-06-10,0.0569,0.1336,-0.2099,0.0864,0.1137,0.0491,0.0373,0.0692,,,,,,,,,,,,,,,,,,,
2016-06-03,0.0620,0.1308,-0.2166,0.0581,0.1165,0.0742,0.0365,0.0739,,,,,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,0.0267,0.0764,0.0629,0.0523,0.1793,0.0773,0.0187,0.0896,0.0192,0.4734,0.1043,0.0193,0.1089,0.0245,0.0198,0.2374,0.0170,0.1095,0.0835
2016-05-27,0.0459,0.1170,-0.1950,0.0751,0.1112,0.0415,0.0383,0.0811,,,,,,,,,,,,,,,,,,,
2016-05-20,0.0438,0.1173,-0.1495,0.0660,0.1005,0.0317,0.0247,0.1166,,,,,,,,,,,,,,,,,,,
2016-05-13,0.0486,0.1090,-0.1757,0.0606,0.1041,0.0360,0.0355,0.1082,,,,,,,,,,,,,,,,,,,
2016-05-06,0.0614,0.1400,-0.1965,0.0719,0.1267,0.0380,0.0385,0.0969,,,,,,,,,,,,,,,,,,,
2016-04-30,,,,,,,,,0.0315,0.0470,0.0541,0.0512,0.1673,0.0661,0.0303,0.1083,0.0302,0.6241,0.1041,0.0211,0.1170,0.0367,0.0292,0.2815,0.0227,0.1286,0.0919
2016-04-29,0.0634,0.1627,-0.2052,0.0742,0.1352,0.0611,0.0340,0.1014,,,,,,,,,,,,,,,,,,,
2016-04-22,0.0683,0.1793,-0.2191,0.0938,0.1460,0.0520,0.0384,0.1241,,,,,,,,,,,,,,,,,,,
2016-04-15,0.0698,0.1679,-0.2289,0.0996,0.1474,0.0302,0.0498,0.1302,,,,,,,,,,,,,,,,,,,
2016-04-08,0.0543,0.1702,-0.1723,0.0864,0.1354,0.0395,0.0269,0.1769,,,,,,,,,,,,,,,,,,,
2016-04-01,0.0500,0.1746,-0.1546,0.0833,0.1276,0.0475,0.0208,0.1198,,,,,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,0.0408,0.0391,0.0700,0.0413,0.1557,0.0790,0.0612,0.0467,0.0488,0.6172,0.1101,0.0239,0.0948,0.0667,0.0400,0.2380,0.0255,0.1226,0.0749
2016-03-25,0.0394,0.1112,-0.1195,0.0469,0.1010,0.0194,0.0240,0.0839,,,,,,,,,,,,,,,,,,,
2016-03-18,0.0621,0.1798,-0.1648,0.0696,0.1281,0.0553,0.0297,0.1391,,,,,,,,,,,,,,,,,,,
2016-03-11,0.0823,0.2410,-0.2145,0.1233,0.1409,0.0688,0.0401,0.2085,,,,,,,,,,,,,,,,,,,
2016-03-04,0.0877,0.2305,-0.2449,0.1235,0.1454,0.0704,0.0483,0.2192,,,,,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,0.0418,0.0391,0.0887,0.0346,0.1563,0.0820,0.0370,0.0340,0.0509,0.6707,0.1020,0.0228,0.0920,0.0362,0.0755,0.2733,0.0221,0.1240,0.0697
2016-02-26,0.0648,0.2244,-0.1874,0.1272,0.1371,0.0555,0.0271,0.2106,,,,,,,,,,,,,,,,,,,
2016-02-19,0.0736,0.2173,-0.2113,0.1318,0.1407,0.0450,0.0375,0.1909,,,,,,,,,,,,,,,,,,,
2016-02-12,0.0930,0.2597,-0.2573,0.1516,0.1578,0.0741,0.0406,0.2841,,,,,,,,,,,,,,,,,,,
2016-02-05,0.0689,0.1645,-0.2100,0.0914,0.1236,0.0587,0.0320,0.2506,,,,,,,,,,,,,,,,,,,
2016-01-31,,,,,,,,,0.0229,0.0448,0.1115,0.0266,0.1607,0.1025,0.0398,0.0239,0.0368,0.6406,0.0621,0.0374,0.0998,0.0291,0.1389,0.1064,0.0220,0.1067,0.0644
2016-01-29,0.0758,0.1792,-0.2329,0.1187,0.1234,0.0590,0.0350,0.2217,,,,,,,,,,,,,,,,,,,
2016-01-22,0.0724,0.1680,-0.2359,0.1331,0.1200,0.0426,0.0358,0.1718,,,,,,,,,,,,,,,,,,,
2016-01-15,0.0531,0.1132,-0.1733,0.1030,0.0730,0.0340,0.0234,0.1838,,,,,,,,,,,,,,,,,,,
2016-01-08,0.0788,0.1687,-0.2811,0.1327,0.1102,0.0796,0.0485,0.1858,,,,,,,,,,,,,,,,,,,
2016-01-01,0.0483,0.0589,-0.1290,0.0509,0.0546,0.0081,0.0260,0.0797,,,,,,,,,,,,,,,,,,,
2015-12-31,,,,,,,,,0.0385,0.0471,0.1059,0.0348,0.1860,0.0994,0.0494,0.0316,0.0563,0.5832,0.0387,0.0533,0.1038,0.0420,0.1492,0.1022,0.0340,0.1078,0.0693
2015-12-25,0.0429,0.0738,-0.1628,0.0597,0.0705,0.0308,0.0326,0.1108,,,,,,,,,,,,,,,,,,,
2015-12-18,0.0609,0.0854,-0.1691,0.0773,0.0604,0.0237,0.0322,0.2077,,,,,,,,,,,,,,,,,,,
2015-12-11,0.0664,0.1225,-0.2044,0.0826,0.0971,0.0425,0.0382,0.1563,,,,,,,,,,,,,,,,,,,
2015-12-04,0.0753,0.1331,-0.2632,0.0816,0.1044,0.0818,0.0532,0.1520,,,,,,,,,,,,,,,,,,,
2015-11-30,,,,,,,,,0.0336,0.0342,0.1274,0.0388,0.1995,0.1071,0.0460,0.0239,0.0364,0.5900,0.0238,0.0471,0.0824,0.0466,0.1470,0.1510,0.0465,0.1091,0.0664
2015-11-27,0.0500,0.0828,-0.1428,0.0596,0.0776,0.0089,0.0295,0.0310,,,,,,,,,,,,,,,,,,,
2015-11-20,0.0452,0.0968,-0.1546,0.0586,0.0828,0.0380,0.0268,0.0728,,,,,,,,,,,,,,,,,,,
2015-11-13,0.0498,0.0923,-0.1397,0.0640,0.0695,0.0243,0.0244,0.0640,,,,,,,,,,,,,,,,,,,
2015-11-06,0.0563,0.1015,-0.1410,0.0359,0.0821,0.0451,0.0231,0.0757,,,,,,,,,,,,,,,,,,,
2015-10-31,,,,,,,,,0.0367,0.0360,0.1064,0.0444,0.2369,0.0893,0.0541,0.0225,0.0420,0.5783,0.0276,0.0462,0.0973,0.0663,0.1098,0.0945,0.0543,0.1060,0.0686
2015-10-30,0.0613,0.1112,-0.1605,0.0549,0.0839,0.0417,0.0299,0.0926,,,,,,,,,,,,,,,,,,,
2015-10-23,0.0786,0.1942,-0.2122,0.1182,0.1086,0.0695,0.0315,0.1147,,,,,,,,,,,,,,,,,,,
2015-10-16,0.0562,0.1474,-0.1407,0.0950,0.0828,0.0385,0.0155,0.0943,,,,,,,,,,,,,,,,,,,
2015-10-09,0.0675,0.1590,-0.2045,0.1211,0.0809,0.0585,0.0355,0.1139,,,,,,,,,,,,,,,,,,,
2015-10-02,0.0652,0.1715,-0.1614,0.1214,0.0969,0.0209,0.0286,0.1217,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,0.0609,0.0685,0.1180,0.0553,0.2818,0.1253,0.0562,0.0365,0.0561,0.5934,0.0232,0.0527,0.1134,0.0956,0.0646,0.1446,0.0580,0.1275,0.0868
2015-09-25,0.0756,0.2355,-0.1889,0.1318,0.1218,0.0719,0.0235,0.1140,,,,,,,,,,,,,,,,,,,
2015-09-18,0.0724,0.1972,-0.1951,0.1135,0.1095,0.0722,0.0248,0.0984,,,,,,,,,,,,,,,,,,,
2015-09-11,0.0416,0.1232,-0.1421,0.0905,0.0696,0.0429,0.0207,0.1012,,,,,,,,,,,,,,,,,,,
2015-09-04,0.0696,0.1799,-0.2259,0.1247,0.0940,0.0743,0.0432,0.1524,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,,,,,0.0864,0.1099,0.0284,0.0602,0.3108,0.1755,0.0673,0.0512,0.0731,0.7275,0.0255,0.0286,0.1689,0.1030,0.0559,0.1271,0.0678,0.1551,0.1122
2015-08-28,0.0774,0.2045,-0.2559,0.1360,0.1162,0.0844,0.0464,0.1724,,,,,,,,,,,,,,,,,,,
2015-08-21,0.0562,0.1525,-0.2405,0.1111,0.1101,0.0717,0.0440,0.0820,,,,,,,,,,,,,,,,,,,
2015-08-14,0.0625,0.1267,-0.2071,0.0923,0.1006,0.0451,0.0333,0.0544,,,,,,,,,,,,,,,,,,,
2015-08-07,0.0575,0.1054,-0.1637,0.0686,0.0933,0.0277,0.0220,0.0407,,,,,,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,0.0911,0.1237,0.0465,0.0535,0.3318,0.1676,0.0701,0.0454,0.0411,0.8404,0.0276,0.0418,0.1806,0.0609,0.0918,0.1979,0.0983,0.1703,0.1125
2015-07-31,0.0467,0.1165,-0.1966,0.0905,0.0928,0.0511,0.0320,0.0578,,,,,,,,,,,,,,,,,,,
2015-07-24,0.0440,0.0882,-0.1462,0.0696,0.0687,0.0299,0.0222,0.0318,,,,,,,,,,,,,,,,,,,
2015-07-17,0.0607,0.1126,-0.1879,0.0870,0.0662,0.0586,0.0281,0.0459,,,,,,,,,,,,,,,,,,,
2015-07-10,0.0846,0.1942,-0.2870,0.1388,0.1253,0.0896,0.0430,0.0920,,,,,,,,,,,,,,,,,,,
2015-07-03,0.0714,0.1211,-0.2527,0.1107,0.0998,0.0548,0.0371,0.0510,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,0.0644,0.0985,0.0491,0.0598,0.3163,0.1594,0.0632,0.0556,0.0607,0.8108,0.0382,0.0436,0.1648,0.0583,0.0927,0.2199,0.1132,0.1635,0.1104
2015-06-26,0.0563,0.0706,-0.1871,0.0639,0.0655,0.0435,0.0284,0.0576,,,,,,,,,,,,,,,,,,,
2015-06-19,0.0384,0.0680,-0.1350,0.0563,0.0702,0.0197,0.0185,0.0534,,,,,,,,,,,,,,,,,,,
2015-06-12,0.0535,0.0818,-0.1788,0.0689,0.0711,0.0473,0.0200,0.0797,,,,,,,,,,,,,,,,,,,
2015-06-05,0.0603,0.1027,-0.2174,0.0624,0.0940,0.0729,0.0306,0.0799,,,,,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,0.0353,0.1015,0.0378,0.0598,0.2849,0.1688,0.0717,0.0438,0.0482,0.7498,0.0397,0.0382,0.1591,0.0557,0.0758,0.1780,0.0937,0.1511,0.1048
2015-05-29,0.0419,0.0755,-0.1578,0.0576,0.0693,0.0458,0.0187,0.0608,,,,,,,,,,,,,,,,,,,
2015-05-22,0.0366,0.0714,-0.1417,0.0438,0.0661,0.0511,0.0156,0.0758,,,,,,,,,,,,,,,,,,,
2015-05-15,0.0495,0.0846,-0.1631,0.0526,0.0746,0.0530,0.0179,0.0770,,,,,,,,,,,,,,,,,,,
2015-05-08,0.0588,0.1146,-0.2118,0.0754,0.0984,0.0711,0.0227,0.1047,,,,,,,,,,,,,,,,,,,
2015-05-01,0.0594,0.1098,-0.2127,0.0705,0.0961,0.0752,0.0212,0.0824,,,,,,,,,,,,,,,,,,,
2015-04-30,,,,,,,,,0.0247,0.0696,0.0216,0.0497,0.3001,0.1551,0.0949,0.0319,0.0346,0.7882,0.0306,0.0145,0.1130,0.0643,0.0388,0.1157,0.0619,0.1383,0.0885
2015-04-24,0.0385,0.0759,-0.1386,0.0415,0.0829,0.0342,0.0173,0.0591,,,,,,,,,,,,,,,,,,,
2015-04-17,0.0335,0.0638,-0.1115,0.0358,0.0609,0.0239,0.0212,0.0754,,,,,,,,,,,,,,,,,,,
2015-04-10,0.0307,0.0713,-0.1335,0.0395,0.0677,0.0420,0.0249,0.0789,,,,,,,,,,,,,,,,,,,
2015-04-03,0.0307,0.0560,-0.1092,0.0285,0.0385,0.0458,0.0216,0.1110,,,,,,,,,,,,,,,,,,,
2015-03-31,,,,,,,,,0.0265,0.0761,0.0262,0.0770,0.3498,0.1540,0.1060,0.0410,0.0420,0.7748,0.0484,0.0197,0.1194,0.0889,0.0489,0.1310,0.0646,0.1468,0.1014
2015-03-27,0.0344,0.0751,-0.1367,0.0414,0.0664,0.0449,0.0245,0.1036,,,,,,,,,,,,,,,,,,,
2015-03-20,0.0456,0.0935,-0.1628,0.0400,0.0711,0.0685,0.0311,0.1389,,,,,,,,,,,,,,,,,,,
