Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
05/16/1986,-0.293749710794808,-0.0815592208875791,-0.156871790493919,-0.34470095168419,0.314757873352756,0.805166274775674
05/23/1986,-0.281414537178411,-0.0364476643285984,-0.133432051958451,-0.34992141965137,0.345285834838041,0.802774941379973
05/30/1986,-0.261277733455217,0.0149045893262432,-0.107032218970792,-0.347994028821452,0.379128336638991,0.801006897931243
06/06/1986,-0.234710326383546,0.0726446159021812,-0.0794381538948375,-0.338735162889779,0.416373420768512,0.799906803670004
06/13/1986,-0.202993605524041,0.135544922720728,-0.0526343208374926,-0.321883865442823,0.456967384068967,0.799523738768055
06/20/1986,-0.170271754034211,0.199106199202311,-0.0297944872819151,-0.298947937045983,0.500824550644075,0.799909972300138
06/27/1986,-0.139603307084975,0.253956012929193,-0.0128598541529852,-0.271742191364748,0.547790090396732,0.801118428092123
07/04/1986,-0.114077779566843,0.288658994169679,-0.00353759210680426,-0.242415844009351,0.597690516025628,0.803203232448879
07/11/1986,-0.0953891166832052,0.294816702420858,-0.00172333927994118,-0.21347574575484,0.650249740630046,0.806219774446941
07/18/1986,-0.0847008513748677,0.262716709645591,-0.00749785372324586,-0.186721168523417,0.705239667826681,0.810212028828229
07/25/1986,-0.0822293369130265,0.189764721170451,-0.0191995101876924,-0.164537590755799,0.76237589262122,0.815216095276243
08/01/1986,-0.0868450386771399,0.0805319630213321,-0.0349531322104504,-0.148062833846261,0.821347468214627,0.821255653180366
08/08/1986,-0.0961072365031514,-0.0510730108070247,-0.0517676741042098,-0.138053269054252,0.881794437637554,0.828336938468273
08/15/1986,-0.108134216252229,-0.181166750996901,-0.0675267757578972,-0.134676090019013,0.943316486044118,0.836447441614768
08/22/1986,-0.120517078155884,-0.278691620182853,-0.079795137128602,-0.137744280688678,1.00543287390294,0.845551483678119
08/29/1986,-0.131667799398518,-0.319988034802337,-0.0875551632163012,-0.1463320050001,1.06761087607486,0.855585766304003
09/05/1986,-0.141053516993682,-0.295856072185222,-0.0907342289691247,-0.159511456995717,1.12932016066601,0.866459956622331
09/12/1986,-0.147904738625607,-0.210599013604628,-0.0896871251322346,-0.175615164509431,1.18987935314801,0.878053264691298
09/19/1986,-0.15465193171756,-0.10075327757746,-0.0874430013304705,-0.193489076065707,1.24871763758035,0.890216449371738
09/26/1986,-0.162274483030346,0.000881539284596154,-0.0856329989947243,-0.212019592423045,1.30522121584724,0.902776420291555
10/03/1986,-0.172287372334609,0.0716937274011322,-0.0862705503549429,-0.230347378536234,1.3587977621364,0.915550874723948
10/10/1986,-0.185620569831932,0.0923311813076212,-0.0906129680441759,-0.247906827071242,1.40887727820312,0.928311854899276
10/17/1986,-0.202804312407629,0.0683243031548137,-0.099545967768713,-0.264307839072133,1.45490433111508,0.940862462972641
10/24/1986,-0.222493383784265,0.0177131317180492,-0.112635171338008,-0.278743182697924,1.4963089245668,0.953001460054422
10/31/1986,-0.243928620771515,-0.0450939818569717,-0.129632140060822,-0.290884107155867,1.5325191928623,0.964538081173429
11/07/1986,-0.265610243955177,-0.103326054852154,-0.149253205045597,-0.300637764467798,1.56297050443739,0.975297906440783
11/14/1986,-0.285147728531699,-0.141689900942631,-0.17032676539365,-0.307414573089154,1.58705197553792,0.985126447258758
11/21/1986,-0.301355559105533,-0.153787665371336,-0.191716918376957,-0.311147956953483,1.6042339399709,0.993887241889712
11/28/1986,-0.31381293114976,-0.13621256118586,-0.212728080557681,-0.312159091161104,1.61402978389736,1.00146431442724
12/05/1986,-0.322752227516366,-0.0940946717947381,-0.23289980324156,-0.311044856604255,1.61610732739338,1.00775975978353
12/12/1986,-0.328651867246508,-0.0449201367296724,-0.251918968945054,-0.308345095975802,1.61015923310634,1.01269179361214
12/19/1986,-0.332792728261756,-0.00387763499020438,-0.269697995886147,-0.305023852362406,1.59619344138948,1.01619605148709
12/26/1986,-0.336615226280298,0.0101046908928448,-0.286351644918931,-0.302042607994236,1.57438126915995,1.01822538797115
01/02/1987,-0.342599169170453,-0.0212481915608513,-0.302700312928246,-0.300492899667932,1.54510666187738,1.0187469650174
01/09/1987,-0.349908602392675,-0.0822909020416896,-0.317066685944186,-0.300713335844563,1.50891370662365,1.01774645935909
01/16/1987,-0.360041544292808,-0.156978653629492,-0.329017714466946,-0.304140469446551,1.46665469013391,1.0152259758665
01/23/1987,-0.372356321973753,-0.222972882871022,-0.337528946354876,-0.310643254614645,1.41914995166576,1.01120591873637
01/30/1987,-0.386413664951859,-0.253812461853756,-0.341376738753507,-0.320455796911403,1.36731370189141,1.00572552322743
02/06/1987,-0.400310083072415,-0.238600444829547,-0.33829429307049,-0.333480376816035,1.31206239109877,0.998844994019086
02/13/1987,-0.412124596787699,-0.183570061247787,-0.326470208204867,-0.34935664519887,1.2543528261835,0.990643950952819
02/20/1987,-0.419179596315115,-0.108781916340058,-0.303266789847555,-0.36769472196271,1.19499618208835,0.981223690603473
02/27/1987,-0.421102283614674,-0.0448112759544824,-0.268529636462142,-0.388214180870198,1.13474864148743,0.970709212610697
03/06/1987,-0.415683416591396,-0.00946208039257364,-0.220416496817142,-0.410548369111476,1.07428987678841,0.95924636961427
03/13/1987,-0.400510644583132,-0.00203225586346086,-0.157570590264681,-0.434046913133428,1.01421152870294,0.947003760931617
03/20/1987,-0.375371587752329,-0.00341735996846991,-0.0806046017537421,-0.458047879118628,0.955064507718867,0.934168314650569
03/27/1987,-0.340227355701308,0.0129896435146482,0.0087562437315085,-0.481790106171301,0.897342916961162,0.920940881980059
04/03/1987,-0.296067451182933,0.0773659189709896,0.108168695629547,-0.504433939322463,0.841480315550948,0.907519418779837
04/10/1987,-0.2455395357763,0.19557927667119,0.212684189988477,-0.524584864388503,0.787915686136366,0.8941351745229
04/17/1987,-0.190775815697604,0.363528410746028,0.318173911869695,-0.541304353151857,0.737045620458871,0.880977301753044
04/24/1987,-0.13591068442115,0.557401947628581,0.418444085971883,-0.553788349473892,0.68926082327952,0.868229469735751
05/01/1987,-0.0859959748656452,0.744162485226536,0.506536529310971,-0.561293102966242,0.644939686001058,0.856053522880965
05/08/1987,-0.0436218350815465,0.903736796473921,0.578802782529268,-0.564286390547451,0.604485029432339,0.844586533877438
05/15/1987,-0.0125860758597817,1.01462481802078,0.630191083097057,-0.562584656410394,0.568267968937647,0.833937107452721
05/22/1987,0.00798954766227164,1.07524067651654,0.66096928868894,-0.556745438893963,0.536723673431189,0.824188981552435
05/29/1987,0.0140268897747398,1.06677041350254,0.666772879810867,-0.547586320015133,0.510338950274547,0.815400105683635
06/05/1987,0.00764895912149858,1.00454986462427,0.651097443044582,-0.536865284756119,0.489607634189452,0.807605353039696
06/12/1987,-0.00959598594213359,0.905127214805802,0.61639210320906,-0.525805834416135,0.475101297479207,0.800821103658768
06/19/1987,-0.0377178368959495,0.785660387467982,0.564951253911482,-0.515843346248582,0.467394736939968,0.79504425552717
06/26/1987,-0.0719249684808354,0.679500767200914,0.502425052386188,-0.508518045399124,0.467049693354379,0.790257175137725
07/03/1987,-0.112264918086811,0.600423581481026,0.43320198846389,-0.504710049424451,0.47449569645292,0.786425666141759
07/10/1987,-0.155207916041913,0.546879796829544,0.361612761666712,-0.505233151329171,0.490310669160502,0.78350755483897
07/17/1987,-0.200240455606981,0.502915207140283,0.292124377631848,-0.510358661809865,0.514616810702932,0.781444041018676
07/24/1987,-0.244160932561056,0.447182172749369,0.229957097352302,-0.519777091948047,0.54747041564567,0.780172990706277
07/31/1987,-0.283690706159777,0.367226947321845,0.179717681040061,-0.532614494963177,0.588650525089719,0.779622147337499
08/07/1987,-0.315491191059248,0.275282960013178,0.14635480187255,-0.548072299645515,0.637683864974281,0.779714360484902
08/14/1987,-0.337172917386631,0.184338930884551,0.132371360152899,-0.563818591995921,0.693774760120751,0.780367419078938
08/21/1987,-0.342266862545103,0.128212606163876,0.143183390080451,-0.578218695456653,0.755899514725637,0.781497035179135
08/28/1987,-0.329520378044713,0.124360077068007,0.178742315869766,-0.589272482349042,0.822759672314465,0.783016428948543
09/04/1987,-0.296700879508944,0.177239263620271,0.240539803178952,-0.594934474192369,0.892777955748387,0.784837459505775
09/11/1987,-0.245783161079928,0.284979958624632,0.323836591665774,-0.593602724589045,0.964157038953367,0.786872380978101
09/18/1987,-0.17813712559081,0.451371302045054,0.425037211151161,-0.58413485588515,1.03489172093728,0.789032997518653
09/25/1987,-0.0986478395652706,0.679761687463821,0.537071865186156,-0.56647198308537,1.10284930850676,0.791233555592127
10/02/1987,-0.0111145630690638,0.974849010642271,0.654627481701805,-0.541312650565135,1.16584529901692,0.793390933733092
10/09/1987,0.0772760842105686,1.28653755208096,0.768545733794014,-0.510110461089814,1.22190939175496,0.795431117273032
10/16/1987,0.160392074643285,1.54147445084586,0.872520292008592,-0.475107469287722,1.26876921441917,0.797276130406293
10/23/1987,0.234352685199748,1.67948964308617,0.961423234370899,-0.43784279940503,1.30493890179793,0.79886894330619
10/30/1987,0.294364483068404,1.65535560187645,1.03049447163428,-0.402496738818867,1.32914183630712,0.800159930161403
11/06/1987,0.33450697406948,1.50614733658433,1.07572716851947,-0.370964342493397,1.34054789397887,0.801112651167167
11/13/1987,0.358014459382276,1.34283446881636,1.09975603307449,-0.344809071711582,1.33896357613977,0.801703583327005
11/20/1987,0.367749030676523,1.25037785793094,1.10516621094438,-0.324276400640925,1.32451522750744,0.801922880807251
11/27/1987,0.363128619834201,1.25795799258795,1.0913773416049,-0.309403557758405,1.2977889402348,0.801772403825763
12/04/1987,0.348476878650102,1.34367937567004,1.06236904353846,-0.299142476802999,1.25973885643182,0.801265449647418
12/11/1987,0.322720936164151,1.41367757853508,1.01665589292543,-0.292469510270057,1.21170569037573,0.800424995172332
12/18/1987,0.290829380385629,1.41187743592645,0.9590380168388,-0.287858049412292,1.15516895513442,0.799281442752792
12/25/1987,0.252419400700773,1.30955842671087,0.889741062351057,-0.284613262019113,1.09182313965218,0.797872260023832
01/01/1988,0.210157427281507,1.12808536530954,0.81250688259545,-0.282312671479758,1.02344660173116,0.796239184081182
01/08/1988,0.164902807571924,0.915926182690505,0.729358471648302,-0.280749241702053,0.951858958977054,0.7944281263594
01/15/1988,0.119053018150214,0.724277261878719,0.644768513255649,-0.280318686009938,0.878989200023271,0.792486585521852
01/22/1988,0.0731778777246277,0.566486771143415,0.56088515861836,-0.281247654479786,0.806582426194591,0.790463588910679
01/29/1988,0.029159669532955,0.459184580189022,0.481813270344622,-0.284626685774248,0.736239430325156,0.78840632455276
02/05/1988,-0.0119626034432309,0.396483188579201,0.410207993410007,-0.290598319249756,0.669420813908296,0.786361024311871
02/12/1988,-0.0485334893974612,0.364259432801293,0.348779160169404,-0.299661186343407,0.607377073488949,0.784370690186272
02/19/1988,-0.078233580691621,0.357806184027135,0.300175177849769,-0.311323802320048,0.551096797649297,0.78247448984532
02/26/1988,-0.101396674435798,0.357807158811427,0.263830183010182,-0.325098370713107,0.501338053888233,0.780706448944566
03/04/1988,-0.116531448478375,0.34984329949047,0.240630400079672,-0.340211187143303,0.458569140427066,0.779094807269293
03/11/1988,-0.123834296558762,0.335331669508467,0.229219763259532,-0.355803663082879,0.423000818938526,0.777661258707899
03/18/1988,-0.122821835194944,0.321484315023158,0.228841300790295,-0.370837039773978,0.394600618062272,0.776420254207655
03/25/1988,-0.116507154154918,0.319817058052316,0.235589296140005,-0.384829241810459,0.373104555088303,0.775378883643659
04/01/1988,-0.105802985851479,0.347798450822209,0.247533762256039,-0.397156905669719,0.358046785844735,0.774536341823528
04/08/1988,-0.0930542098571197,0.401768295882776,0.261472696094914,-0.407565613233314,0.348829776684581,0.77388495285121
04/15/1988,-0.0819994922617396,0.463662346878508,0.274310617857976,-0.416400892103442,0.344647230524453,0.773408565111613
04/22/1988,-0.0735052987476857,0.51837941472616,0.284728860757787,-0.423715473941969,0.344703448054802,0.77308539162261
04/29/1988,-0.0706054981916914,0.540929290544884,0.28996723211889,-0.429869964060269,0.348161620844942,0.772886869484472
05/06/1988,-0.0724217015291517,0.533308102296614,0.290907463649319,-0.434823461923944,0.354175404963988,0.772779166538586
05/13/1988,-0.0778435429543614,0.510775311246925,0.28934458416704,-0.439505956859659,0.361947538739048,0.77272348900715
05/20/1988,-0.0850326194411603,0.483005501460462,0.286786219050739,-0.443393453451975,0.37073235918742,0.772677288972838
05/27/1988,-0.0920848814345472,0.461797444845817,0.285414414540973,-0.446827335888389,0.379854494045654,0.772594722314824
06/03/1988,-0.095903121529828,0.454653921426838,0.288351762755421,-0.449780816018083,0.388688621904024,0.77242767234295
06/10/1988,-0.0952217491868369,0.456749617225501,0.296846656909217,-0.452439533189794,0.396723633893542,0.772126765109716
06/17/1988,-0.0885473333583421,0.469421860756755,0.312414346614328,-0.454860371119956,0.403469358838389,0.771642267432402
06/24/1988,-0.0765946645040953,0.49646273654973,0.334267384295199,-0.457261658963777,0.408520094702045,0.770925694616439
07/01/1988,-0.0602370312579275,0.534979278572016,0.360935886590186,-0.459403422077119,0.411553607038413,0.769931790239168
07/08/1988,-0.0416761472332949,0.581114518845916,0.389669957058164,-0.461291073770303,0.412359398948167,0.768620111546142
07/15/1988,-0.0229728875107366,0.631937473629035,0.418095207177203,-0.463065302700051,0.41074787368775,0.766953176574771
07/22/1988,-0.00671370876723636,0.678727930631685,0.44233589640433,-0.464226597690915,0.406740754814142,0.764905641748472
07/29/1988,0.00426050006100828,0.714016908483045,0.458814165135392,-0.464594166592834,0.400436532158628,0.762461101392998
08/05/1988,0.00943841755571531,0.73604963438889,0.466046582339343,-0.463647081256082,0.392028639196403,0.759614248850413
08/12/1988,0.00807437236442807,0.736506364696628,0.463229631185798,-0.462056111983863,0.381882498636941,0.75637237664005
08/19/1988,0.000781502410779699,0.707186683701487,0.449949035153061,-0.458782813079401,0.370363561824917,0.752755467034753
08/26/1988,-0.0121299118185728,0.643543069995349,0.427035907722902,-0.454425709679336,0.357885168320677,0.748796665613339
09/02/1988,-0.0285321494143228,0.559031241080647,0.39709707338978,-0.44921339004483,0.34486350105133,0.744542734567005
09/09/1988,-0.0475561855526041,0.471434842704995,0.361925287991348,-0.443754111617708,0.33170380762582,0.740052662779451
09/16/1988,-0.0671427874577222,0.404993955175961,0.32519728318354,-0.438973826588759,0.318744213396496,0.735397239253272
09/23/1988,-0.0861719452443785,0.370733933744048,0.289043654070806,-0.43535838764013,0.30628115142055,0.730657028695227
09/30/1988,-0.103773955428948,0.365956431250126,0.255338187984799,-0.433278400607627,0.29452575265672,0.725918784949528
10/07/1988,-0.120015149544637,0.3710303923536,0.224773248744682,-0.432937615159367,0.28363748415254,0.721270181111624
10/14/1988,-0.135192958482434,0.368340141280653,0.197859259554947,-0.434562190221828,0.273666693457944,0.71680965474316
10/21/1988,-0.148805712992439,0.348924862537598,0.174747161181279,-0.437466537660657,0.264657984108289,0.71261923872845
10/28/1988,-0.160999193139383,0.316057568917708,0.155374944654447,-0.441457248319081,0.256575753975088,0.708774988294652
11/04/1988,-0.171757108219846,0.281269833843964,0.139032742429136,-0.445457667768566,0.249359940641448,0.705341289166451
11/11/1988,-0.180545645750882,0.261457872283751,0.125960093832886,-0.44929059986209,0.24290628978626,0.702367289170327
11/18/1988,-0.187222331093721,0.260461786102514,0.115094200894028,-0.451444476885711,0.237092476242419,0.699885354960891
11/25/1988,-0.191392645534001,0.280463188767105,0.106671606593051,-0.45181275389087,0.231773063452817,0.697910523220076
12/02/1988,-0.19296797102841,0.308080741450889,0.10038534732518,-0.449845819552496,0.226773189063016,0.69643903327259
12/09/1988,-0.192031344440711,0.33114034378842,0.0960700619340259,-0.445498586766672,0.221940674665472,0.695449555256776
12/16/1988,-0.189969179913921,0.339906173420686,0.09329156549188,-0.439457873868105,0.21704888619604,0.694903717189281
12/23/1988,-0.186241920893225,0.334504175041438,0.0928494028314203,-0.431923960112671,0.211933304046126,0.694747200879356
12/30/1988,-0.181491456907331,0.31537713463208,0.0952421724905002,-0.423858250242948,0.206381708677275,0.694912672411144
01/06/1989,-0.174858644135492,0.289456187708426,0.102048066912659,-0.415807928534008,0.200200147488951,0.69532497219486
01/13/1989,-0.166835183302872,0.2586497117979,0.113689276297884,-0.408542699562408,0.193219450832408,0.69589236538475
01/20/1989,-0.156504238081369,0.232098996335599,0.13140214709219,-0.402207171354579,0.185255655102105,0.696529122153776
01/27/1989,-0.142938322882245,0.222954212149661,0.15651635030826,-0.397493198120664,0.176161398614624,0.697148066669134
02/03/1989,-0.124943811368293,0.247740056866456,0.189656524328477,-0.393575818850998,0.165898086917141,0.697665112852881
02/10/1989,-0.102190428715563,0.313290949507147,0.230774739023524,-0.390987862681163,0.154376393050211,0.698002539090963
02/17/1989,-0.0740929066079525,0.417374500356561,0.27857327929893,-0.388244364580662,0.141729116302597,0.698091417948639
02/24/1989,-0.0424755444405124,0.536370579297283,0.329716956507921,-0.384886715015966,0.128152348826301,0.697872316952845
03/03/1989,-0.00785736281684182,0.650785110957212,0.381788347489598,-0.379900585758304,0.113874555590059,0.697296799198109
03/10/1989,0.0267321832972447,0.736999182307673,0.430003220938266,-0.372987361680988,0.0993533359085817,0.696327953241386
03/17/1989,0.0597830119084781,0.795312062255925,0.471723194061898,-0.363899922268325,0.0849029505479323,0.694940329281711
03/24/1989,0.0881083575888005,0.827780332548158,0.502754446267777,-0.352394901411423,0.0708787838899338,0.693121043065357
03/31/1989,0.109305057040025,0.844661149533798,0.520380097151179,-0.338678370492737,0.0575758271637496,0.690869531358845
04/07/1989,0.122228577341402,0.854788659545559,0.524049100080948,-0.323336174625143,0.0452339052450123,0.688197798038282
04/14/1989,0.125389869303294,0.860032106385321,0.513487105954744,-0.307187225614523,0.03397021559057,0.685129215776849
04/21/1989,0.118551222554182,0.844791225984549,0.489274487389867,-0.290519527585761,0.0238750310074247,0.681700333591749
04/28/1989,0.105069508756665,0.801945014610034,0.455914003121187,-0.274404311763255,0.0149504161699781,0.677957850658052
05/05/1989,0.0850303349960492,0.721160790395224,0.415876591308851,-0.258279029736355,0.00720068634841769,0.673958911400807
05/12/1989,0.0628903230975086,0.604601306712838,0.373154289395936,-0.243355334370043,0.000558892562638617,0.669769512372311
05/19/1989,0.0406466525837112,0.469849837922657,0.330369095929786,-0.228990324955134,-0.00496803007167029,0.665462719027881
05/26/1989,0.0212029001846213,0.354799192185337,0.29100343145372,-0.215591247097802,-0.00938933153780076,0.661117005889139
06/02/1989,0.00603202653024019,0.289439635974429,0.256543427886559,-0.202961527503858,-0.0126938953864969,0.656814495282152
06/09/1989,-0.00463506122758428,0.290174845112489,0.227146425783076,-0.191130647845034,-0.0148548767294121,0.652638458269714
06/16/1989,-0.0124236912285975,0.340440233518774,0.201592242087864,-0.180180405896293,-0.0158342819603898,0.648671138350827
06/23/1989,-0.0188167296287976,0.405446373932629,0.178465166107007,-0.170138255777439,-0.015632001761017,0.644990913122413
06/30/1989,-0.0251485347189977,0.438812430361984,0.15691699550907,-0.1612475874454,-0.0142709054585321,0.641668016014036
07/07/1989,-0.0325037261522819,0.414250151519223,0.136770223045592,-0.153995138703181,-0.0117739985804138,0.638761981227142
07/14/1989,-0.0417616842157499,0.325369398556412,0.117586783386748,-0.148384208617699,-0.00825895773444935,0.636324705547066
